Date,HQ/PM,Funds Center,Fiscal Year,Fiscal Period,Fund,Funded Program,WBS Element,  Allocated  ,  Actual  
3/31/2021,PM-Four,FC-Ten,FY24,Q2,Fund02,Funded Program Eight,S.0060703.1.19.2.9,"$89,173.00 ","$82,039.16 "
3/31/2021,PM-One,FC-Seven,FY23,Q2,Fund01,Funded Program Five,S.0060703.1.19.2.5,"$84,689.00 ","$81,301.44 "
3/31/2021,PM-One,FC-One,FY25,Q1,Fund03,Funded Program Eight,S.0060703.1.19.3.3,"$36,508.00 ","$39,428.64 "
3/31/2021,PM-One,FC-Two,FY24,Q2,Fund01,Funded Program Two,S.0060703.1.19.2.8,"$31,161.00 ","$32,719.05 "
3/31/2021,PM-Four,FC-Two,FY24,Q2,Fund07,Funded Program Seven,S.0060703.1.19.3.3,"$90,331.00 ","$96,654.17 "
3/31/2021,HQ,FC-Four,FY21,Q4,Fund06,Funded Program One,S.0060703.1.19.2.10,"$26,237.00 ","$24,925.15 "
3/31/2021,PM-Four,FC-Eight,FY23,Q2,Fund05,Funded Program Seven,S.0060703.1.19.3.1,"$10,533.00 ","$9,058.38 "
3/31/2021,PM-One,FC-Four,FY21,Q4,Fund08,Funded Program Two,S.0060703.1.19.2.10,"$73,253.00 ","$65,195.17 "
3/31/2021,PM-Three,FC-One,FY25,Q2,Fund07,Funded Program Nine,S.0060703.1.19.2.5,"$38,257.00 ","$37,109.29 "
3/31/2021,PM-One,FC-Six,FY22,Q4,Fund06,Funded Program Eight,S.0060703.1.19.2.5,"$56,418.00 ","$51,340.38 "
3/31/2021,HQ,FC-Six,FY23,Q1,Fund09,Funded Program Seven,S.0060703.1.19.2.6,"$13,335.00 ","$12,134.85 "
3/31/2021,PM-Four,FC-Four,FY24,Q2,Fund05,Funded Program Ten,S.0060703.1.19.3.2,"$96,139.00 ","$90,370.66 "
3/31/2021,PM-Four,FC-Five,FY22,Q2,Fund02,Funded Program Three,S.0060703.1.19.2.9,"$64,027.00 ","$59,545.11 "
3/31/2021,HQ,FC-Nine,FY22,Q2,Fund04,Funded Program One,S.0060703.1.19.3.1,"$88,057.00 ","$85,415.29 "
3/31/2021,PM-One,FC-Nine,FY25,Q3,Fund08,Funded Program Six,S.0060703.1.19.2.6,"$55,523.00 ","$56,633.46 "
3/31/2021,PM-Four,FC-Seven,FY21,Q3,Fund10,Funded Program Seven,S.0060703.1.19.2.8,"$61,566.00 ","$59,719.02 "
3/31/2021,PM-One,FC-Nine,FY25,Q4,Fund03,Funded Program Ten,S.0060703.1.19.2.9,"$49,058.00 ","$45,133.36 "
3/31/2021,PM-Three,FC-Six,FY23,Q1,Fund04,Funded Program Seven,S.0060703.1.19.2.6,"$21,329.00 ","$18,982.81 "
3/31/2021,PM-Three,FC-Four,FY25,Q4,Fund02,Funded Program Eight,S.0060703.1.19.3.1,"$71,709.00 ","$65,972.28 "
3/31/2021,PM-One,FC-Six,FY25,Q3,Fund06,Funded Program One,S.0060703.1.19.2.10,"$18,059.00 ","$17,878.41 "
3/31/2021,PM-One,FC-Two,FY21,Q1,Fund04,Funded Program Nine,S.0060703.1.19.2.10,"$95,087.00 ","$100,792.22 "
3/31/2021,PM-Two,FC-Ten,FY24,Q1,Fund10,Funded Program Nine,S.0060703.1.19.2.9,"$99,753.00 ","$84,790.05 "
3/31/2021,PM-One,FC-Two,FY21,Q2,Fund04,Funded Program Eight,S.0060703.1.19.2.10,"$30,028.00 ","$30,628.56 "
3/31/2021,PM-Two,FC-Eight,FY23,Q2,Fund05,Funded Program Five,S.0060703.1.19.3.4,"$71,679.00 ","$78,130.11 "
3/31/2021,PM-One,FC-Six,FY25,Q1,Fund03,Funded Program Eight,S.0060703.1.19.3.1,"$18,074.00 ","$17,531.78 "
3/31/2021,PM-One,FC-Two,FY23,Q4,Fund07,Funded Program Two,S.0060703.1.19.2.8,"$39,159.00 ","$39,550.59 "
